DNA_plate_well,DNA_plate,DNA_well,Cohort,collection_date,isolation_source,counts
plate_1_A1,plate_1,A1,Neomycin+D-Scour,2017-02-21,14194,4807
plate_1_A10,plate_1,A10,Control,2017-02-14,29631,29571318
plate_1_A11,plate_1,A11,Control,2017-02-28,29707,17738284
plate_1_A12,plate_1,A12,Neomycin+ColiGuard,2017-02-21,14297,16652662
plate_1_A2,plate_1,A2,Control,2017-02-28,14286,16623684
plate_1_A3,plate_1,A3,D-Scour,2017-02-21,29644,20492295
plate_1_A4,plate_1,A4,Control,2017-02-14,29898,27569705
plate_1_A5,plate_1,A5,Neomycin+ColiGuard,2017-02-21,29679,31975216
plate_1_A6,plate_1,A6,ColiGuard,2017-02-14,14284,18234198
plate_1_A7,plate_1,A7,D-Scour,2017-02-14,29792,20641280
plate_1_A8,plate_1,A8,Control,2017-02-28,29913,18326652
plate_1_A9,plate_1,A9,Neomycin+D-Scour,2017-02-21,14287,21337402
plate_1_B1,plate_1,B1,D-Scour,2017-02-21,14262,15535547
plate_1_B10,plate_1,B10,D-Scour,2017-02-14,29765,12605147
plate_1_B11,plate_1,B11,ColiGuard,2017-02-21,14307,18809861
plate_1_B12,plate_1,B12,Neomycin+ColiGuard,2017-02-14,29943,30607797
plate_1_B2,plate_1,B2,D-Scour,2017-02-21,29752,19934428
plate_1_B3,plate_1,B3,Neomycin,2017-02-21,29793,38638750
plate_1_B4,plate_1,B4,Neomycin+ColiGuard,2017-02-28,29679,20051755
plate_1_B5,plate_1,B5,D-Scour,2017-02-14,29644,18688583
plate_1_B6,plate_1,B6,NegativeControl,,NegativeControl,846381
plate_1_B7,plate_1,B7,Neomycin,2017-02-14,29633,16152883
plate_1_B8,plate_1,B8,Neomycin+ColiGuard,2017-02-14,14297,18021771
plate_1_B9,plate_1,B9,Neomycin+ColiGuard,2017-02-21,14195,22882514
plate_1_C1,plate_1,C1,Neomycin+ColiGuard,2017-02-28,14274,23935659
plate_1_C10,plate_1,C10,Control,2017-02-14,14286,31660711
plate_1_C11,plate_1,C11,ColiGuard,2017-02-28,14275,18796165
plate_1_C12,plate_1,C12,ColiGuard,2017-02-14,14183,37571988
plate_1_C2,plate_1,C2,Neomycin+D-Scour,2017-02-14,29703,17611718
plate_1_C3,plate_1,C3,Neomycin,2017-02-21,29653,22564430
plate_1_C4,plate_1,C4,Control,2017-02-21,14286,19586803
plate_1_C5,plate_1,C5,Neomycin+D-Scour,2017-02-21,29703,24998792
plate_1_C6,plate_1,C6,Neomycin+D-Scour,2017-02-14,29691,21213338
plate_1_C7,plate_1,C7,Neomycin,2017-02-21,14305,23585133
plate_1_C8,plate_1,C8,ColiGuard,2017-02-28,14183,37091117
plate_1_C9,plate_1,C9,Neomycin+D-Scour,2017-02-14,14194,16565213
plate_1_D1,plate_1,D1,Neomycin+D-Scour,2017-02-28,14194,17140550
plate_1_D10,plate_1,D10,Neomycin,2017-02-14,29743,24757955
plate_1_D11,plate_1,D11,Neomycin+D-Scour,2017-02-14,14174,24419916
plate_1_D12,plate_1,D12,Neomycin,2017-02-14,29653,16477068
plate_1_D2,plate_1,D2,Control,2017-02-14,29912,24120347
plate_1_D3,plate_1,D3,Neomycin,2017-02-28,29653,23408127
plate_1_D4,plate_1,D4,ColiGuard,2017-02-21,14183,36434537
plate_1_D5,plate_1,D5,Neomycin+ColiGuard,2017-02-14,29745,30465842
plate_1_D6,plate_1,D6,Neomycin,2017-02-14,14305,32217490
plate_1_D7,plate_1,D7,Neomycin+D-Scour,2017-02-14,14287,19921856
plate_1_D8,plate_1,D8,Control,2017-02-14,29962,36784294
plate_1_D9,plate_1,D9,Neomycin+ColiGuard,2017-02-14,29679,27566119
plate_1_E1,plate_1,E1,Neomycin+ColiGuard,2017-02-14,29900,57157805
plate_1_E10,plate_1,E10,Control,2017-02-21,29913,18991498
plate_1_E11,plate_1,E11,Control,2017-02-14,29913,31910219
plate_1_E12,plate_1,E12,D-Scour,2017-02-14,29778,17545823
plate_1_E2,plate_1,E2,Neomycin+ColiGuard,2017-02-14,14274,24045029
plate_1_E3,plate_1,E3,Control,2017-02-21,29962,50583317
plate_1_E4,plate_1,E4,Control,2017-02-28,29962,18070259
plate_1_E5,plate_1,E5,Neomycin+D-Scour,2017-02-14,14201,21011626
plate_1_E6,plate_1,E6,Neomycin,2017-02-21,29949,24512011
plate_1_E7,plate_1,E7,NegativeControl,,NegativeControl,61617
plate_1_E8,plate_1,E8,Neomycin,2017-02-28,29793,24961349
plate_1_E9,plate_1,E9,ColiGuard,2017-02-21,14275,15502503
plate_1_F1,plate_1,F1,Neomycin+D-Scour,2017-02-28,14287,22704538
plate_1_F10,plate_1,F10,ColiGuard,2017-02-28,14284,19940639
plate_1_F11,plate_1,F11,Control,2017-02-14,29939,22893386
plate_1_F12,plate_1,F12,D-Scour,2017-02-14,14172,37654248
plate_1_F2,plate_1,F2,D-Scour,2017-02-21,14205,23828290
plate_1_F3,plate_1,F3,ColiGuard,2017-02-14,14231,20146298
plate_1_F4,plate_1,F4,Neomycin+ColiGuard,2017-02-28,14297,17014697
plate_1_F5,plate_1,F5,Neomycin,2017-02-14,29949,17134293
plate_1_F6,plate_1,F6,Neomycin+D-Scour,2017-02-28,29703,20691382
plate_1_F7,plate_1,F7,Neomycin,2017-02-14,29797,18581889
plate_1_F8,plate_1,F8,MockCommunity,2017-08-14,MockCommunity,37093254
plate_1_F9,plate_1,F9,Neomycin,2017-02-14,29718,34502668
plate_1_G1,plate_1,G1,Control,2017-02-21,29707,52410535
plate_1_G10,plate_1,G10,ColiGuard,2017-02-14,29863,46713595
plate_1_G11,plate_1,G11,Neomycin+ColiGuard,2017-02-28,14195,29208219
plate_1_G12,plate_1,G12,Neomycin+ColiGuard,2017-02-21,14274,53313822
plate_1_G2,plate_1,G2,D-Scour,2017-02-28,14205,20089730
plate_1_G3,plate_1,G3,Neomycin,2017-02-28,14305,23076547
plate_1_G4,plate_1,G4,D-Scour,2017-02-14,14273,20409512
plate_1_G5,plate_1,G5,ColiGuard,2017-02-14,29901,30907525
plate_1_G6,plate_1,G6,ColiGuard,2017-02-28,14307,41066150
plate_1_G7,plate_1,G7,Neomycin,2017-02-28,29949,29100553
plate_1_G8,plate_1,G8,ColiGuard,2017-02-21,14284,17649031
plate_1_G9,plate_1,G9,D-Scour,2017-02-14,14205,46975334
plate_1_H1,plate_1,H1,Neomycin,2017-02-14,29793,24305626
plate_1_H10,plate_1,H10,Neomycin+D-Scour,2017-02-28,14295,44753719
plate_1_H11,plate_1,H11,D-Scour,2017-02-14,14233,40136823
plate_1_H12,plate_1,H12,D-Scour,2017-02-28,14262,39336702
plate_1_H2,plate_1,H2,D-Scour,2017-02-28,29765,21359590
plate_1_H3,plate_1,H3,ColiGuard,2017-02-14,14163,42164030
plate_1_H4,plate_1,H4,Neomycin+D-Scour,2017-02-14,14295,18918657
plate_1_H5,plate_1,H5,Control,2017-02-14,29707,22354931
plate_1_H6,plate_1,H6,Neomycin+ColiGuard,2017-02-14,29655,14571916
plate_1_H7,plate_1,H7,D-Scour,2017-02-21,29765,19157337
plate_1_H8,plate_1,H8,D-Scour,2017-02-28,29644,19980980
plate_1_H9,plate_1,H9,Neomycin+D-Scour,2017-02-21,14295,34406160
plate_10_A1,plate_10,A1,D-Scour,2017-03-08,29644,17893345
plate_10_A10,plate_10,A10,ColiGuard,2017-03-07,14284,17438117
plate_10_A2,plate_10,A2,Mothers,2017-01-30,408216,17477646
plate_10_A3,plate_10,A3,ColiGuard,2017-03-10,29924,12123748
plate_10_A4,plate_10,A4,Mothers,2017-01-30,315132,14547728
plate_10_A5,plate_10,A5,ColiGuard,2017-03-08,14183,21617403
plate_10_A6,plate_10,A6,Neomycin+ColiGuard,2017-03-07,29643,20749658
plate_10_A7,plate_10,A7,Neomycin,2017-03-10,29781,18778841
plate_10_A8,plate_10,A8,Mothers,2017-01-30,Y08843,10530375
plate_10_A9,plate_10,A9,Mothers,2017-01-30,32719,11813695
plate_10_B1,plate_10,B1,D-Scour,2017-03-09,14205,12961720
plate_10_B10,plate_10,B10,ColiGuard,2017-02-16,14162,12137669
plate_10_B2,plate_10,B2,Neomycin,2017-02-06,29946,20216824
plate_10_B3,plate_10,B3,Neomycin+D-Scour,2017-03-09,14295,17025508
plate_10_B4,plate_10,B4,Neomycin+ColiGuard,2017-02-17,29943,20435324
plate_10_B5,plate_10,B5,D-Scour,2017-02-16,29792,18232074
plate_10_B6,plate_10,B6,Mothers,2017-01-30,210747,15672103
plate_10_B7,plate_10,B7,Mothers,2017-01-30,P03694,15774025
plate_10_B8,plate_10,B8,Mothers,2017-01-30,B11439,16702964
plate_10_B9,plate_10,B9,Neomycin+ColiGuard,2017-03-07,14186,11825332
plate_10_C1,plate_10,C1,Mothers,2017-01-30,315286,16036038
plate_10_C10,plate_10,C10,Control,2017-03-07,14286,17363200
plate_10_C2,plate_10,C2,Neomycin,2017-03-09,14305,12139516
plate_10_C3,plate_10,C3,Control,2017-02-06,14182,14215390
plate_10_C4,plate_10,C4,Neomycin+D-Scour,2017-02-17,14201,19498062
