collection_date,sample_size,unrooted_pd,bwpd,pc1,pc2,pc3,pc4,pc5,grouping,test
all,784,0.113490878702467,0.000973577333675042,0.0049229092433719,0.0029324430137287,2.88023369337137e-05,0.000673871490394538,0.0450260185387861,cross_breed,Kruskal-Wallis
t0,126,0.126334477982148,0.152775404628232,0.645192485297864,0.276690530514717,0.115321189047699,0.8093293078712,0.889927713402379,cross_breed,Kruskal-Wallis
t1,48,0.449644992889603,0.341997593285107,0.552195652022159,0.469343203005298,0.385159951611706,0.351881045208189,0.212455428588438,cross_breed,Kruskal-Wallis
t10,72,0.695325195427748,0.246573834996686,0.625729885574163,0.279252018815058,0.15296492289703,0.131518189510131,0.182865118435985,cross_breed,Kruskal-Wallis
t2,118,0.127108961281883,0.573733823055938,0.31784598358022,0.588272962966701,0.00397315545202751,0.794172594239425,0.185459054553005,cross_breed,Kruskal-Wallis
t3,49,0.435737506738651,0.238599536647205,0.349369563533214,0.690000521160927,0.189959327117722,0.149062915648026,0.444848003703964,cross_breed,Kruskal-Wallis
t4,108,0.101484867534529,0.145136056849612,0.85455622198951,0.0680554617272863,0.0972619359186062,0.0509356667387312,0.00702961260487007,cross_breed,Kruskal-Wallis
t5,24,0.581004342927005,0.00410085991512447,0.0170135002742389,0.0575802571851581,0.363476222713073,0.00884113165228586,0.501181108594492,cross_breed,Kruskal-Wallis
t6,72,0.738027294360764,0.383408611192219,0.398016511610566,0.29322181290011,0.0645894060562627,0.0487215660883426,0.391154496432588,cross_breed,Kruskal-Wallis
t7,48,0.659380746384506,0.115619876293743,0.0943982404641971,0.238618616855512,0.138655820958669,0.114836477322809,0.296957866332095,cross_breed,Kruskal-Wallis
t8,72,0.656241951460329,0.889981129001512,0.0166531481724753,0.514846434256452,0.335887882090514,0.343001725303999,0.729398934968841,cross_breed,Kruskal-Wallis
t9,47,0.137168441329555,0.260914277062773,0.529999220732693,0.417762935220895,0.244602956023547,0.372205292184058,0.177442164212081,cross_breed,Kruskal-Wallis
all,784,0.225447870907406,0.000400441438000689,0.00369936316083232,0.00150513347318776,0.382959159290874,0.00133890282635403,0.387233168505654,line,Kruskal-Wallis
t0,126,0.151594517002782,0.105585128141192,0.442174528445074,0.347753772970324,0.0571674523497858,0.773866635342635,0.867808973564953,line,Kruskal-Wallis
t1,48,0.289149528641957,0.25426385470208,0.540864856581264,0.676721003242878,0.220151270407842,0.371119378723971,0.186876758963281,line,Kruskal-Wallis
t10,72,0.512550056833428,0.440823426168267,0.486578779668817,0.245016775897238,0.915617669611239,0.31614772232222,0.733349326445359,line,Kruskal-Wallis
t2,118,0.234256347870112,0.743163485443486,0.17998696567122,0.383089155925045,0.902264675400586,0.601831371579073,0.144204289077892,line,Kruskal-Wallis
t3,49,0.259950173654446,0.288142733343847,0.238954291762309,0.596432552665934,0.296413452585317,0.118030014518935,0.266423890131299,line,Kruskal-Wallis
t4,108,0.754501610369744,0.400628014033346,0.794640962252032,0.0567058221700632,0.087415393864291,0.174622364465575,0.0730066998624611,line,Kruskal-Wallis
t5,24,0.400619335828965,0.00148265174189128,0.0255124236477438,0.0386025903428244,0.330430485093684,0.01586091398862,0.391028684820911,line,Kruskal-Wallis
t6,72,0.57166695493804,0.499748366391362,0.25208098833927,0.343127522453149,0.972911046018516,0.0503383220938657,0.5454108377645,line,Kruskal-Wallis
