collection_date,Cohort,min,max,mean,sd,n,q25,q75,type
t0,Control,1.85907029941408,2.47660185694854,2.16668983209737,0.141978036280909,30,2.08267008190572,2.25633186778067,bwpd
t0,D-Scour,1.96311389914977,2.56291417361536,2.19126694332095,0.149056258653206,18,2.0978323787638,2.26187408611447,bwpd
t0,ColiGuard,2.04258853434748,2.4877182518476,2.19522239723759,0.112571493441401,18,2.12648764627332,2.22443721888853,bwpd
t0,Neomycin,1.70716014100767,2.37960652728496,2.14006472401944,0.15935846601092,24,2.04510117484708,2.2369531561083,bwpd
t0,Neomycin+D-Scour,1.8552849386857,2.5279717026999,2.16178082269357,0.140605013373041,18,2.1225946056103,2.18102958336223,bwpd
t0,Neomycin+ColiGuard,1.98875029953296,2.65776639972525,2.18437544416356,0.185697459954089,18,2.08628236603099,2.22934402636448,bwpd
t2,Control,1.81034552204614,2.18139107442076,2.0505833297066,0.0976979500548189,23,2.01672062367864,2.11806838501989,bwpd
t2,D-Scour,1.86575092549456,2.39587615858566,2.11892628188066,0.131087409740568,18,2.04295028776585,2.21538489745334,bwpd
t2,ColiGuard,1.82171358931196,2.26385273597523,2.03266650700794,0.110402850089201,18,1.99404998380035,2.0446139227949,bwpd
t2,Neomycin,1.90024903530269,2.38239481170169,2.12345637077788,0.107168521884501,23,2.03697703249098,2.17391780492371,bwpd
t2,Neomycin+D-Scour,1.8726419837317,2.34631408331188,2.03122774919692,0.103821282543989,18,1.97999318491377,2.07233389627972,bwpd
t2,Neomycin+ColiGuard,1.85512440711896,2.23041041560049,2.00926186829429,0.0968024751284656,17,1.96290339943497,2.05614093165903,bwpd
t4,Control,2.00137678212131,2.49538722414168,2.19701395557441,0.128840042171316,18,2.10409580092887,2.27337051948296,bwpd
t4,D-Scour,1.8750989608609,2.50306389702216,2.17285240144429,0.155303871475974,18,2.09851913865728,2.28235955170835,bwpd
t4,ColiGuard,1.84855635941183,2.31127810254143,2.09374356694351,0.128854423038979,18,2.00733210471416,2.18591418146922,bwpd
t4,Neomycin,1.82132885916373,2.44315512878077,2.15699930319574,0.147611619380211,18,2.0728142634013,2.25920077967415,bwpd
t4,Neomycin+D-Scour,1.93300955499979,2.41961895385651,2.17948968493989,0.148227416670534,18,2.0960178809283,2.27974064411586,bwpd
t4,Neomycin+ColiGuard,1.84007815341939,2.49271768782614,2.12613775069675,0.157138663455902,18,2.01703865687808,2.20229076405702,bwpd
t6,Control,1.75011159600942,2.34304240604934,2.07467118766113,0.165689221607723,12,1.96873934495854,2.16876574225978,bwpd
t6,D-Scour,1.91998048972717,2.31484628198454,2.11977880577709,0.119399171174126,12,2.02950072350481,2.15553141725294,bwpd
t6,ColiGuard,1.82126808349353,2.33401341192706,2.08913701104723,0.182470039600554,12,1.97280467427627,2.24616999064983,bwpd
t6,Neomycin,1.70339367114712,2.19248587705468,2.016562838201,0.135359822404928,12,1.94540616093222,2.10285337505727,bwpd
t6,Neomycin+D-Scour,1.91768894558374,2.38222751940863,2.15292659521269,0.150282055801828,11,2.02400840975252,2.26775511799152,bwpd
t6,Neomycin+ColiGuard,1.65241807776968,2.30198090402976,1.99725412688358,0.164926522051225,12,1.90304061849832,2.09896341753718,bwpd
t8,Control,1.86208939124803,2.49622200093678,2.16379564645235,0.16556911340621,12,2.08960716350341,2.27667815164716,bwpd
t8,D-Scour,1.85319050426432,2.48554995249739,2.12112733679699,0.167321240789647,12,2.04825111086162,2.1816052661736,bwpd
t8,ColiGuard,1.9488058274012,2.31829996637213,2.12305382817362,0.102883827570064,12,2.05347959388467,2.17661422352134,bwpd
t8,Neomycin,1.8624790998996,2.52962371355306,2.04183402248547,0.170767566415264,12,1.96471716052803,2.06446423182411,bwpd
t8,Neomycin+D-Scour,1.94571141282183,2.232266379624,2.06286234024529,0.104873581638542,12,1.97333834446013,2.14685138906709,bwpd
t8,Neomycin+ColiGuard,1.91138719918931,2.4952399105896,2.09875279890388,0.170841288799315,12,1.98404290183005,2.1711718279675,bwpd
t9,Control,1.91746531918124,2.34197680622373,2.09086960758019,0.158556023661097,8,1.96965463206775,2.1984169265908,bwpd
t9,D-Scour,1.93196473672079,2.24505798828404,2.11514957523596,0.111988986905521,8,2.01618714739673,2.1876583419884,bwpd
t9,ColiGuard,1.96620250811693,2.29296097516437,2.12924619993237,0.114619329012978,8,2.06272313717563,2.19469381390982,bwpd
t9,Neomycin,1.99521488539533,2.25922294973614,2.09740281628542,0.0961216883032702,8,2.00464428885512,2.14812330099862,bwpd
t9,Neomycin+D-Scour,2.07917447910261,2.20535757874837,2.1258787098006,0.0407363970868631,7,2.10100203886762,2.13505314658871,bwpd
t9,Neomycin+ColiGuard,2.00314900954554,2.13154895261854,2.06062030156739,0.044275559972427,8,2.02873706419648,2.09197344128063,bwpd
t0,Control,84.1319484795881,132.544098275391,111.80262769334,12.1717739661398,30,105.739322889478,119.234937067659,unrooted_pd
t0,D-Scour,94.1206636171876,133.194065513977,114.391893540864,10.7205422955,18,108.348817682261,123.539258824786,unrooted_pd
t0,ColiGuard,79.2541764101038,146.560985560675,114.288543296736,14.5714552473287,18,107.940083054642,123.392809604582,unrooted_pd
t0,Neomycin,34.5069541109834,140.786546114779,113.471238933466,22.1784749352153,24,104.568112677118,130.054537469884,unrooted_pd
t0,Neomycin+D-Scour,86.6240727694902,143.057876934554,111.830458362439,14.9675331367806,18,101.120034110663,120.258948879088,unrooted_pd
t0,Neomycin+ColiGuard,92.7409681201334,132.269120212472,113.063786585135,11.3719178694895,18,106.508772555406,120.909281617427,unrooted_pd
t2,Control,94.985548735438,140.085486082923,126.847849904424,9.20897099814826,23,123.47995401646,133.158553588012,unrooted_pd
t2,D-Scour,106.053831261381,149.870171146474,129.321488670682,9.67321947289506,18,124.739720518774,134.861636251485,unrooted_pd
t2,ColiGuard,35.8640443985597,144.54801249661,124.372162405729,23.5396218687539,18,121.148013878807,135.471871946777,unrooted_pd
t2,Neomycin,102.70487885089,144.302486250545,126.225380875077,11.8497881521667,23,122.733108034644,133.414121687064,unrooted_pd
t2,Neomycin+D-Scour,112.036567381441,142.81057576973,128.84351340774,10.1202541226634,18,121.33428593919,137.377488125799,unrooted_pd
t2,Neomycin+ColiGuard,112.154030674572,148.687649424924,126.290556400581,7.65584745820099,17,122.88882967785,128.526972977611,unrooted_pd
t4,Control,88.0576424934859,145.864211302747,118.908257756063,14.3379805343264,18,113.376352457881,125.30098888631,unrooted_pd
t4,D-Scour,92.8082986499387,150.095860747881,123.381313889302,14.0602964763689,18,116.210939394525,130.211186600887,unrooted_pd
t4,ColiGuard,110.647338473089,139.607716601065,122.973213378747,6.28898562164935,18,118.899590577927,125.915371765421,unrooted_pd
t4,Neomycin,105.187166312285,151.36769958667,125.226563098659,12.2342205288694,18,119.046557438219,128.270688486251,unrooted_pd
t4,Neomycin+D-Scour,100.405210969397,127.615277931738,116.397898165516,8.3772221611332,18,111.351707951853,122.790893162792,unrooted_pd
t4,Neomycin+ColiGuard,100.196782031662,146.187199111958,123.883588655125,13.7601035154968,18,112.229514826856,134.065995957923,unrooted_pd
t6,Control,100.914507110023,136.307393249846,117.652384453931,10.7079144212075,12,111.346570421979,123.336341296328,unrooted_pd
t6,D-Scour,87.4685627643223,136.188290999712,118.382097095275,16.222271353418,12,107.782999853959,133.142102209773,unrooted_pd
t6,ColiGuard,103.144562722484,139.598188421054,116.076946559573,12.5273688963869,12,106.994128253183,122.766183588826,unrooted_pd
t6,Neomycin,112.103971595193,140.524803927098,126.928200894144,8.5531200403228,12,120.26518356019,134.596874323945,unrooted_pd
t6,Neomycin+D-Scour,96.94508117748,139.579132061032,117.1858988788,14.7477373038308,11,104.62237947325,128.682784966208,unrooted_pd
t6,Neomycin+ColiGuard,105.514697500154,136.640974258139,117.098804673734,11.4522287859924,12,107.90298546885,122.840637424473,unrooted_pd
t8,Control,90.9538519099989,129.186131842668,114.488880549325,10.7834102431576,12,109.159174489391,122.475813465402,unrooted_pd
t8,D-Scour,109.165719695943,133.671425355075,122.068571420968,7.63555627399467,12,116.874920255837,126.983252299746,unrooted_pd
t8,ColiGuard,108.627205157572,135.886953770197,120.857224763035,8.15859593331032,12,115.468183291855,124.621620695907,unrooted_pd
t8,Neomycin,105.931555375623,135.501354632709,119.478738633643,8.49724393634881,12,113.874546680874,122.899194782363,unrooted_pd
t8,Neomycin+D-Scour,99.9947507745975,134.015464069908,118.832708796149,12.2902897430553,12,110.954505636278,130.542248832101,unrooted_pd
t8,Neomycin+ColiGuard,96.3071234876927,142.480911437148,119.858274667849,13.3333120723928,12,110.896656294686,127.15737881286,unrooted_pd
t9,Control,99.3889654327892,136.091446614506,120.52347874672,12.0041918360053,8,113.92123316419,128.539021854383,unrooted_pd
t9,D-Scour,100.117786573829,132.266279501929,123.038597776829,10.8144025591185,8,119.103696707477,130.609530736216,unrooted_pd
t9,ColiGuard,104.975240059976,123.22609785174,114.384091514462,6.24385464606104,8,109.375523761532,119.094824640173,unrooted_pd
t9,Neomycin,99.99918480144,133.486012197467,114.964829831525,11.8153900178365,8,107.48324701,125.245359167461,unrooted_pd
t9,Neomycin+D-Scour,97.7631650943203,125.208415100408,115.13159955981,9.33100538615327,7,111.438155558948,121.68811240882,unrooted_pd
t9,Neomycin+ColiGuard,106.18384236994,141.149250632791,122.017483888545,12.5695513593022,8,115.336422631521,132.047737717594,unrooted_pd
t0,all,1.70716014100767,2.65776639972525,2.17103070851484,0.147792578450755,126,2.08919468120942,2.23886145479304,bwpd
t2,all,1.81034552204614,2.39587615858566,2.06368491074945,0.114577471614956,117,1.98864104227189,2.13210035282553,bwpd
t4,all,1.82132885916373,2.50306389702216,2.15437277713243,0.145623289326442,108,2.06299077548646,2.25516078694498,bwpd
t6,all,1.65241807776968,2.38222751940863,2.07395831242507,0.15849032989639,71,1.97757861753807,2.17877410821189,bwpd
t8,all,1.85319050426432,2.52962371355306,2.10190432884293,0.150409553062811,72,1.99655346905934,2.16550602433652,bwpd
t9,all,1.91746531918124,2.34197680622373,2.10271189305138,0.10110655872144,47,2.0219041179913,2.16771057424324,bwpd
