interval,mean,sum,sd,n,n_pos,perc_pos,n_neg,perc_neg,type,Cohort.x,dates
A-B,10.2539640518955,1148.4439738123,11.4500816480661,112,96,0.857142857142857,16,0.142857142857143,unrooted_pd,all,t0-t2
B-C,-5.88752132041674,-606.414696002924,12.7270522207232,103,35,0.339805825242718,68,0.660194174757282,unrooted_pd,all,t2-t4
C-D,-4.39655254629517,-307.758678240662,12.8949078100539,70,29,0.414285714285714,41,0.585714285714286,unrooted_pd,all,t4-t6
D-E,-0.289205148505726,-20.2443603954008,13.0783930873319,70,34,0.485714285714286,36,0.514285714285714,unrooted_pd,all,t6-t8
A-C,5.83399211598932,612.569172178879,14.2819479893488,105,67,0.638095238095238,38,0.361904761904762,unrooted_pd,all,t0-t4
B-D,-10.0790365961131,-675.295451939577,15.4937316989378,67,18,0.26865671641791,49,0.73134328358209,unrooted_pd,all,t2-t6
A-B,10.7539141611465,236.586111545222,11.8387786405842,22,19,0.863636363636364,3,0.136363636363636,unrooted_pd,Control,t0-t2
A-B,11.3125090959869,203.625163727763,8.1988041560891,18,17,0.944444444444444,1,0.0555555555555556,unrooted_pd,D-Scour,t0-t2
A-B,12.1815745839955,207.086767927924,11.6816092746132,17,15,0.882352941176471,2,0.117647058823529,unrooted_pd,ColiGuard,t0-t2
A-B,6.71273307688774,147.68012769153,14.5010402913392,22,15,0.681818181818182,7,0.318181818181818,unrooted_pd,Neomycin,t0-t2
A-B,12.9522094541222,233.1397701742,11.3782612637626,18,17,0.944444444444444,1,0.0555555555555556,unrooted_pd,Neomycin+D-Scour,t0-t2
A-B,8.02173551637714,120.326032745657,8.8474717935087,15,13,0.866666666666667,2,0.133333333333333,unrooted_pd,Neomycin+ColiGuard,t0-t2
B-C,-6.71516083160962,-107.442573305754,12.5356399441568,16,3,0.1875,13,0.8125,unrooted_pd,Control,t2-t4
B-C,-6.21375291307233,-111.847552435302,15.8154672383079,18,7,0.388888888888889,11,0.611111111111111,unrooted_pd,D-Scour,t2-t4
B-C,-5.29093323061721,-89.9458649204925,8.91210081255152,17,6,0.352941176470588,11,0.647058823529412,unrooted_pd,ColiGuard,t2-t4
B-C,-1.47763055504957,-25.1197194358426,13.0050497665639,17,8,0.470588235294118,9,0.529411764705882,unrooted_pd,Neomycin,t2-t4
B-C,-11.3001275226977,-203.402295408559,12.8807708565528,18,4,0.222222222222222,14,0.777777777777778,unrooted_pd,Neomycin+D-Scour,t2-t4
B-C,-4.0386288527632,-68.6566904969744,11.6725868216035,17,7,0.411764705882353,10,0.588235294117647,unrooted_pd,Neomycin+ColiGuard,t2-t4
C-D,-2.80789194704446,-30.886811417489,15.4298639441079,11,4,0.363636363636364,7,0.636363636363636,unrooted_pd,Control,t4-t6
C-D,-8.45071235123549,-101.408548214826,13.5082966543768,12,4,0.333333333333333,8,0.666666666666667,unrooted_pd,D-Scour,t4-t6
C-D,-8.09556980164405,-97.1468376197286,10.8329612220664,12,3,0.25,9,0.75,unrooted_pd,ColiGuard,t4-t6
C-D,2.8273483551144,33.9281802613727,6.03405177077398,12,9,0.75,3,0.25,unrooted_pd,Neomycin,t4-t6
C-D,-1.58390392887382,-17.422943217612,12.6467779028967,11,6,0.545454545454545,5,0.454545454545455,unrooted_pd,Neomycin+D-Scour,t4-t6
C-D,-7.90180983603157,-94.8217180323788,15.2092508191052,12,3,0.25,9,0.75,unrooted_pd,Neomycin+ColiGuard,t4-t6
D-E,-3.17010344295905,-34.8711378725496,13.7308361771092,11,4,0.363636363636364,7,0.636363636363636,unrooted_pd,Control,t6-t8
D-E,2.81664628769323,33.7997554523187,13.8526939054288,12,5,0.416666666666667,7,0.583333333333333,unrooted_pd,D-Scour,t6-t8
D-E,3.93953050216135,47.2743660259361,8.14343423681905,12,9,0.75,3,0.25,unrooted_pd,ColiGuard,t6-t8
D-E,-6.52668795897826,-78.3202555077391,7.83303943697701,12,2,0.166666666666667,10,0.833333333333333,unrooted_pd,Neomycin,t6-t8
D-E,0.104773174754207,1.15250492229628,14.9014337016557,11,6,0.545454545454545,5,0.454545454545455,unrooted_pd,Neomycin+D-Scour,t6-t8
D-E,0.893367215361393,10.7204065843367,17.2519133257072,12,8,0.666666666666667,4,0.333333333333333,unrooted_pd,Neomycin+ColiGuard,t6-t8
A-C,5.04949897884453,85.841482640357,14.3683259255093,17,11,0.647058823529412,6,0.352941176470588,unrooted_pd,Control,t0-t4
A-C,5.90506564752533,106.291181655456,15.980124864351,18,12,0.666666666666667,6,0.333333333333333,unrooted_pd,D-Scour,t0-t4
A-C,6.67215727228895,120.098830901201,13.8482438441779,18,13,0.722222222222222,5,0.277777777777778,unrooted_pd,ColiGuard,t0-t4
A-C,8.31127159752452,149.602888755441,11.9551023186209,18,11,0.611111111111111,7,0.388888888888889,unrooted_pd,Neomycin,t0-t4
A-C,3.23645608203949,58.2562094767108,16.0220166711605,18,10,0.555555555555556,8,0.444444444444444,unrooted_pd,Neomycin+D-Scour,t0-t4
A-C,5.77991117185705,92.4785787497127,14.742022661166,16,10,0.625,6,0.375,unrooted_pd,Neomycin+ColiGuard,t0-t4
B-D,-13.7349071655114,-137.349071655114,10.3727285569816,10,1,0.1,9,0.9,unrooted_pd,Control,t2-t6
B-D,-11.1311739172876,-133.574087007451,23.1776751180816,12,5,0.416666666666667,7,0.583333333333333,unrooted_pd,D-Scour,t2-t6
B-D,-15.1977410081873,-167.17515109006,14.6006183029293,11,1,0.0909090909090909,10,0.909090909090909,unrooted_pd,ColiGuard,t2-t6
B-D,-1.36466157377665,-16.3759388853198,10.6041867087609,12,6,0.5,6,0.5,unrooted_pd,Neomycin,t2-t6
