p_value,which_colldate,which_PC,comparison,group_1,group_2,groupsplit,test
0.923935554495667,t0,PC1,ColiGuard_vs_Control,ColiGuard,Control,all_t0,pairwise.t.test
0.442490525642076,t0,PC1,Control_vs_D-Scour,Control,D-Scour,all_t0,pairwise.t.test
0.205752750997466,t0,PC1,Control_vs_Neomycin,Control,Neomycin,all_t0,pairwise.t.test
0.178477639914642,t0,PC1,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t0,pairwise.t.test
0.699923508403238,t0,PC1,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t0,pairwise.t.test
0.330639774428431,t0,PC2,ColiGuard_vs_Control,ColiGuard,Control,all_t0,pairwise.t.test
0.0842715585242124,t0,PC2,Control_vs_D-Scour,Control,D-Scour,all_t0,pairwise.t.test
0.106687857183577,t0,PC2,Control_vs_Neomycin,Control,Neomycin,all_t0,pairwise.t.test
0.759613698331584,t0,PC2,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t0,pairwise.t.test
0.358196580648682,t0,PC2,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t0,pairwise.t.test
0.453247401160383,t0,PC3,ColiGuard_vs_Control,ColiGuard,Control,all_t0,pairwise.t.test
0.239874541606325,t0,PC3,Control_vs_D-Scour,Control,D-Scour,all_t0,pairwise.t.test
0.688894384791728,t0,PC3,Control_vs_Neomycin,Control,Neomycin,all_t0,pairwise.t.test
0.360820950111194,t0,PC3,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t0,pairwise.t.test
0.76251457464821,t0,PC3,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t0,pairwise.t.test
0.138315598628469,t0,PC4,ColiGuard_vs_Control,ColiGuard,Control,all_t0,pairwise.t.test
0.526424827500527,t0,PC4,Control_vs_D-Scour,Control,D-Scour,all_t0,pairwise.t.test
0.0586043923219535,t0,PC4,Control_vs_Neomycin,Control,Neomycin,all_t0,pairwise.t.test
0.307074954267916,t0,PC4,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t0,pairwise.t.test
0.00749646518615331,t0,PC4,Neomycin_vs_Neomycin+D-Scour,Neomycin,Neomycin+D-Scour,all_t0,pairwise.t.test
0.281458920474597,t0,PC5,ColiGuard_vs_Control,ColiGuard,Control,all_t0,pairwise.t.test
0.0854118346595857,t0,PC5,Control_vs_D-Scour,Control,D-Scour,all_t0,pairwise.t.test
6.45480333626566e-05,t0,PC5,Control_vs_Neomycin,Control,Neomycin,all_t0,pairwise.t.test
0.0335318899013179,t0,PC5,Neomycin_vs_Neomycin+ColiGuard,Neomycin,Neomycin+ColiGuard,all_t0,pairwise.t.test
