DNA_plate	DNA_well	old_sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*host	*lat_lon	altitude	chem_administration	host_body_habitat	host_diet	host_last_meal	host_life_stage	host_sex	isolation_source	perturbation	samp_collect_device	samp_mat_process	samp_size	samp_store_temp	samp_vol_we_dna_ext	description	PigPen	Cohort	Dysentery	date of sample	pig ID	alt_sample_name	replicate	r1_filename	r2_filename
plate_3	H1	18Ja24/ColiGuard_P03			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P03	ColiGuard-180124-01	1	combined_new/plate_3_H1.r1.fastq.gz	combined_new/plate_3_H1.r2.fastq.gz
plate_4	D3	18Ja24/ColiGuard_P04			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P04	ColiGuard-180124-02	2	combined_new/plate_4_D3.r1.fastq.gz	combined_new/plate_4_D3.r2.fastq.gz
plate_5	C2	18Ja24/ColiGuard_P05			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P05	ColiGuard-180124-03	3	combined_new/plate_5_C2.r1.fastq.gz	combined_new/plate_5_C2.r2.fastq.gz
plate_6	A2	18Ja24/ColiGuard_P06			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P06	ColiGuard-180124-04	4	combined_new/plate_6_A2.r1.fastq.gz	combined_new/plate_6_A2.r2.fastq.gz
plate_7	B7	18Ja24/ColiGuard_P07			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P07	ColiGuard-180124-05	5	combined_new/plate_7_B7.r1.fastq.gz	combined_new/plate_7_B7.r2.fastq.gz
plate_8	F1	18Ja24/ColiGuard_P08			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P08	ColiGuard-180124-06	6	combined_new/plate_8_F1.r1.fastq.gz	combined_new/plate_8_F1.r2.fastq.gz
plate_9	G8	18Ja24/ColiGuard_P09			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P09	ColiGuard-180124-07	7	combined_new/plate_9_G8.r1.fastq.gz	combined_new/plate_9_G8.r2.fastq.gz
plate_10	F7	18Ja24/ColiGuard_P10			DPI	2018-01-24	Lab	Probiotic ColiGuard	Probiotic ColiGuard	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	ColiGuard					-80C						18Ja24	ColiGuard_P10	ColiGuard-180124-08	8	combined_new/plate_10_F7.r1.fastq.gz	combined_new/plate_10_F7.r2.fastq.gz
plate_3	F4	18Ja24/Protexin_P03			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P03	Protexin-180124-01	1	combined_new/plate_3_F4.r1.fastq.gz	combined_new/plate_3_F4.r2.fastq.gz
plate_4	D1	18Ja24/Protexin_P04			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P04	Protexin-180124-02	2	combined_new/plate_4_D1.r1.fastq.gz	combined_new/plate_4_D1.r2.fastq.gz
plate_5	G6	18Ja24/Protexin_P05			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P05	Protexin-180124-03	3	combined_new/plate_5_G6.r1.fastq.gz	combined_new/plate_5_G6.r2.fastq.gz
plate_6	D4	18Ja24/Protexin_P06			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P06	Protexin-180124-04	4	combined_new/plate_6_D4.r1.fastq.gz	combined_new/plate_6_D4.r2.fastq.gz
plate_7	A9	18Ja24/Protexin_P07			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P07	Protexin-180124-05	5	combined_new/plate_7_A9.r1.fastq.gz	combined_new/plate_7_A9.r2.fastq.gz
plate_8	F3	18Ja24/Protexin_P08			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P08	Protexin-180124-06	6	combined_new/plate_8_F3.r1.fastq.gz	combined_new/plate_8_F3.r2.fastq.gz
plate_9	H5	18Ja24/Protexin_P09			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P09	Protexin-180124-07	7	combined_new/plate_9_H5.r1.fastq.gz	combined_new/plate_9_H5.r2.fastq.gz
plate_10	G2	18Ja24/Protexin_P10			DPI	2018-01-24	Lab	Probiotic Protexin	Probiotic Protexin	NSW, Australia		34.1273° S, 150.7387° E		No treatment					not applicable	Protexin					-80C						18Ja24	Protexin_P10	Protexin-180124-08	8	combined_new/plate_10_G2.r1.fastq.gz	combined_new/plate_10_G2.r2.fastq.gz
plate_1	F8	Au14/MC1			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC1	MockCommunity-170814-01	1	combined_new/plate_1_F8.r1.fastq.gz	combined_new/plate_1_F8.r2.fastq.gz
plate_2	C9	Au14/MC2			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC2	MockCommunity-170814-02	2	combined_new/plate_2_C9.r1.fastq.gz	combined_new/plate_2_C9.r2.fastq.gz
plate_3	G4	Au14/MC3			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC3	MockCommunity-170814-03	3	combined_new/plate_3_G4.r1.fastq.gz	combined_new/plate_3_G4.r2.fastq.gz
plate_4	B7	Au14/MC4			Laboratory - UTS	2017-08-14	Lab	mock community	mock community	NSW, Australia		33.8832° S, 151.2005° E		No treatment					not applicable	MockCommunity					-80C						Au14	MC4	MockCommunity-170814-04	4	combined_new/plate_4_B7.r1.fastq.gz	combined_new/plate_4_B7.r2.fastq.gz
